              n              m            jnm       jnm_deri            ynm       ynm_deri
              0              1  2.4048256D+00  3.8317060D+00  8.9357697D-01  2.1971413D+00
              0              2  5.5200781D+00  7.0155867D+00  3.9576784D+00  5.4296810D+00
              0              3  8.6537279D+00  1.0173468D+01  7.0860511D+00  8.5960059D+00
              0              4  1.1791534D+01  1.3323692D+01  1.0222345D+01  1.1749155D+01
              0              5  1.4930918D+01  1.6470630D+01  1.3361097D+01  1.4897442D+01
              0              6  1.8071064D+01  1.9615859D+01  1.6500922D+01  1.8043402D+01
              0              7  2.1211637D+01  2.2760084D+01  1.9641310D+01  2.1188069D+01
              0              8  2.4352472D+01  2.5903672D+01  2.2782028D+01  2.4331943D+01
              0              9  2.7493479D+01  2.9046829D+01  2.5922958D+01  2.7475295D+01
              1              1  3.8317060D+00  1.8411838D+00  2.1971413D+00  3.6830229D+00
              1              2  7.0155867D+00  5.3314428D+00  5.4296810D+00  6.9415000D+00
              1              3  1.0173468D+01  8.5363164D+00  8.5960059D+00  1.0123405D+01
              1              4  1.3323692D+01  1.1706005D+01  1.1749155D+01  1.3285758D+01
              1              5  1.6470630D+01  1.4863589D+01  1.4897442D+01  1.6440058D+01
              1              6  1.9615859D+01  1.8015528D+01  1.8043402D+01  1.9590242D+01
              1              7  2.2760084D+01  2.1164370D+01  2.1188069D+01  2.2738035D+01
              1              8  2.5903672D+01  2.4311327D+01  2.4331943D+01  2.5884315D+01
              1              9  2.9046829D+01  2.7457051D+01  2.7475295D+01  2.9029576D+01
              2              1  5.1356223D+00  3.0542369D+00  3.3842418D+00  5.0025829D+00
              2              2  8.4172441D+00  6.7061332D+00  6.7938075D+00  8.3507247D+00
              2              3  1.1619841D+01  9.9694678D+00  1.0023478D+01  1.1574195D+01
              2              4  1.4795952D+01  1.3170371D+01  1.3209987D+01  1.4760909D+01
              2              5  1.7959819D+01  1.6347522D+01  1.6378967D+01  1.7931286D+01
              2              6  2.1116997D+01  1.9512913D+01  1.9539040D+01  2.1092895D+01
              2              7  2.4270112D+01  2.2671582D+01  2.2693956D+01  2.4249232D+01
              2              8  2.7420574D+01  2.5826037D+01  2.5845614D+01  2.7402146D+01
              2              9  3.0569204D+01  2.8977673D+01  2.8995080D+01  3.0552709D+01
