n	m	jnm_deri
1	1	1.8411838
2	1	3.0542369
0	1	3.831706
3	1	4.2011889
4	1	5.3175531
1	2	5.3314428
5	1	6.4156164
2	2	6.7061332
0	2	7.0155867
6	1	7.5012661
3	2	8.0152366
1	3	8.5363164
7	1	8.5778365
4	2	9.2823963
8	1	9.6474217
2	3	9.9694678
0	3	10.173468
5	2	10.519861
9	1	10.711434
3	3	11.345924
1	4	11.706005
6	2	11.734936
10	1	11.770877
4	3	12.681908
11	1	12.826491
7	2	12.932386
2	4	13.170371
0	4	13.323692
12	1	13.878843
5	3	13.987189
8	2	14.115519
3	4	14.585848
1	5	14.863589
13	1	14.928374
6	3	15.268181
9	2	15.286738
4	4	15.964107
14	1	15.975439
2	5	16.347522
10	2	16.447853
0	5	16.47063
7	3	16.529366
15	1	17.020323
5	4	17.312842
11	2	17.600267
8	3	17.774012
3	5	17.788748
1	6	18.015528
16	1	18.063265
6	4	18.637443
12	2	18.745091
9	3	19.004594
17	1	19.104462
4	5	19.196029
2	6	19.512913
0	6	19.615859
13	2	19.883224
7	4	19.941853
18	1	20.144083
10	3	20.223031
5	5	20.575515
3	6	20.972477
14	2	21.015405
1	7	21.16437
19	1	21.18227
8	4	21.229063
11	3	21.430854
6	5	21.931715
15	2	22.142247
20	1	22.219146
4	6	22.401032
9	4	22.501399
12	3	22.6293
2	7	22.671582
0	7	22.760084
21	1	23.254821
16	2	23.26427
7	5	23.268053
10	4	23.760716
5	6	23.803581
13	3	23.819389
3	7	24.144897
22	1	24.289386
1	8	24.311327
17	2	24.381914
8	5	24.587197
14	3	25.001972
11	4	25.008519
6	6	25.183926
23	1	25.322924
18	2	25.495559
4	7	25.58976
2	8	25.826037
9	5	25.891277
0	8	25.903672
15	3	26.177766
12	4	26.246048
24	1	26.35551
7	6	26.545032
19	2	26.605534
5	7	27.010308
10	5	27.182022
3	8	27.310058
16	3	27.347387
25	1	27.387207
1	9	27.457051
13	4	27.47434
20	2	27.712127
8	6	27.889269
6	7	28.409776
26	1	28.418075
11	5	28.460857
17	3	28.511361
14	4	28.694271
4	8	28.767836
21	2	28.81559
2	9	28.977673
0	9	29.046829
9	6	29.218563
27	1	29.448165
18	3	29.670147
12	5	29.728978
7	7	29.790749
15	4	29.906591
22	2	29.916148
5	8	30.202849
3	9	30.470269
28	1	30.477526
10	6	30.534505
1	10	30.601923
19	3	30.824148
13	5	30.987394
23	2	31.013998
16	4	31.111945
8	7	31.155327
29	1	31.506199
6	8	31.617876
11	6	31.838424
4	9	31.938539
20	3	31.973715
24	2	32.10932
2	10	32.127327
0	10	32.18968
14	5	32.236969
17	4	32.310894
9	7	32.505247
30	1	32.534224
7	8	33.015179
21	3	33.119163
12	6	33.13145
25	2	33.202272
5	9	33.385444
15	5	33.478448
18	4	33.503929
31	1	33.561636
3	10	33.626949
1	11	33.746183
10	7	33.841966
22	3	34.260768
26	2	34.292999
8	8	34.396629
13	6	34.414546
32	1	34.588468
19	4	34.691484
16	5	34.71248
6	9	34.813393
4	10	35.103917
11	7	35.166714
2	11	35.275535
0	11	35.332308
27	2	35.381631
23	3	35.398782
33	1	35.614749
14	6	35.688544
9	8	35.763793
20	4	35.873942
17	5	35.93963
7	9	36.224381
28	2	36.468287
12	7	36.480548
24	3	36.533428
5	10	36.560778
34	1	36.640508
3	11	36.781021
1	12	36.889987
15	6	36.95417
21	4	37.051644
10	8	37.118
18	5	37.160401
29	2	37.553074
8	9	37.620078
25	3	37.664908
35	1	37.665769
13	7	37.784379
6	10	37.999641
16	6	38.212057
22	4	38.224897
4	11	38.265317
19	5	38.375236
2	12	38.422655
11	8	38.460389
0	12	38.474766
30	2	38.636093
36	1	38.690556
26	3	38.793406
9	9	39.001903
14	7	39.078998
23	4	39.393978
7	10	39.422275
17	6	39.462767
20	5	39.584531
37	1	39.71489
31	2	39.717432
5	11	39.73064
12	8	39.791941
27	3	39.919089
3	12	39.933109
1	13	40.033444
15	7	40.365103
10	9	40.371069
24	4	40.559133
18	6	40.706795
38	1	40.738792
21	5	40.78864
32	2	40.797177
8	10	40.830179
28	3	41.042109
13	8	41.113512
6	11	41.178849
4	12	41.423666
2	13	41.568935
0	13	41.617094
16	7	41.643306
25	4	41.72059
11	9	41.728626
39	1	41.76228
33	2	41.875403
19	6	41.944586
22	5	41.987883
29	3	42.162605
9	10	42.224638
14	8	42.425854
7	11	42.611522
40	1	42.785372
26	4	42.878553
5	12	42.896273
17	7	42.914152
34	2	42.952183
12	9	43.075487
3	13	43.083653
20	6	43.176536
1	14	43.176629
23	5	43.182548
30	3	43.280706
10	10	43.606765
15	8	43.72963
41	1	43.808085
35	2	44.027581
8	11	44.03001
27	4	44.03321
18	7	44.178128
6	12	44.352579
24	5	44.372896
31	3	44.396529
21	6	44.403004
13	9	44.412455
4	13	44.579623
2	14	44.714554
0	14	44.759319
42	1	44.830432
11	10	44.977526
16	8	45.025426
36	2	45.101659
28	4	45.184733
9	11	45.435483
19	7	45.435668
32	3	45.510182
25	5	45.559167
22	6	45.624312
14	9	45.740237
7	12	45.794
43	1	45.85243
5	13	46.058566
37	2	46.174474
3	14	46.232971
17	8	46.313769
1	15	46.319598
29	4	46.333279
12	10	46.337772
33	3	46.621768
20	7	46.687166
26	5	46.741577
10	11	46.828959
23	6	46.840754
44	1	46.874091
15	9	47.059462
8	12	47.221758
38	2	47.24608
30	4	47.478995
6	13	47.521957
18	8	47.59513
13	10	47.688253
34	3	47.731377
4	14	47.733668
2	15	47.859642
45	1	47.895427
0	15	47.901461
27	5	47.920326
21	7	47.932977
24	6	48.052598
11	11	48.211334
39	2	48.316525
16	9	48.370693
31	4	48.622013
9	12	48.636923
35	3	48.839099
19	8	48.869934
46	1	48.916451
7	13	48.971071
14	10	49.029635
28	5	49.095597
22	7	49.173422
5	14	49.218175
25	6	49.260087
3	15	49.3813
40	2	49.385857
1	16	49.462391
12	11	49.583396
17	9	49.674432
32	4	49.762458
47	1	49.937175
36	3	49.945012
10	12	50.040429
20	8	50.138562
29	5	50.26756
15	10	50.362514
8	13	50.407021
23	7	50.408796
41	2	50.454118
26	6	50.463446
6	14	50.687818
4	15	50.886159
33	4	50.900446
13	11	50.945849
48	1	50.957607
18	9	50.971133
2	16	51.004298
0	16	51.043535
37	3	51.049193
21	8	51.401366
11	12	51.433105
30	5	51.436369
42	2	51.52135
24	7	51.639366
27	6	51.662881
16	10	51.687424
9	13	51.830784
49	1	51.977759
34	4	52.036083
7	14	52.143753
38	3	52.151712
19	9	52.261207
14	11	52.299319
5	15	52.375592
3	16	52.528819
43	2	52.587591
31	5	52.60217
1	17	52.605041
22	8	52.658661
12	12	52.815687
28	6	52.85858
25	7	52.865379
50	1	52.99764
17	10	53.004846
35	4	53.169469
10	13	53.243223
39	3	53.252634
20	9	53.545027
8	14	53.586995
15	11	53.64437
44	2	53.652877
32	5	53.765096
6	15	53.850795
23	8	53.910739
51	1	54.017259
4	16	54.037372
29	6	54.050719
26	7	54.08706
2	17	54.148597
0	17	54.185554
13	12	54.188831
36	4	54.300697
18	10	54.315216
40	3	54.352021
11	13	54.645106
45	2	54.717242
21	9	54.822933
33	5	54.925272
16	11	54.981507
9	14	55.018443
52	1	55.036625
24	8	55.157866
30	6	55.239461
27	7	55.304619
7	15	55.31282
37	4	55.429854
41	3	55.449931
5	16	55.531196
14	12	55.553128
19	10	55.61893
3	17	55.675665
1	18	55.747572
46	2	55.780718
12	13	56.037119
53	1	56.055744
34	5	56.082813
22	9	56.095236
17	11	56.311192
25	8	56.400286
31	6	56.424955
10	14	56.438892
28	7	56.518247
42	3	56.546419
38	4	56.557022
8	15	56.762598
47	2	56.843336
15	12	56.909109
20	10	56.916348
6	16	57.011376
54	1	57.074626
4	17	57.18752
35	5	57.237829
2	18	57.292599
0	18	57.327525
23	9	57.36222
13	13	57.419876
32	6	57.607342
18	11	57.63384
26	8	57.638225
43	3	57.641537
39	4	57.682277
29	7	57.728123
11	14	57.849057
48	2	57.905124
55	1	58.093277
9	15	58.200956
21	10	58.2078
16	12	58.257256
36	5	58.39042
7	16	58.478874
24	9	58.624147
5	17	58.685284
44	3	58.735331
33	6	58.786753
14	13	58.793934
40	4	58.805691
3	18	58.821948
27	8	58.871892
1	19	58.890002
30	7	58.934412
19	11	58.949832
49	2	58.96611
